,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving
3,15,5899,7989,8060,5
4,8,5753,8517,10473,16
5,14,13392,19952,14835,44
7,20,10441,13090,9697,2
8,4,5008,5756,3636,7
9,11,9207,10804,24188,33
10,27,20018,23537,19741,1
11,21,14696,18088,12733,16
13,11,11287,13306,9927,25
14,5,5621,5677,3260,39
15,26,14648,13502,17339,28
16,11,9207,10804,7925,42
18,6,9732,5209,3097,3
19,8,6934,13705,6802,15
20,10,6088,7617,3878,14
21,17,7289,8930,3776,5
22,9,13707,10078,8697,6
24,8,10725,11056,9605,8
25,3,4562,5539,3246,4
26,13,10134,12413,8455,25
27,11,9207,27352,17059,33
29,5,4787,6600,4019,19
30,12,5105,8807,3284,21
31,14,14713,21686,20967,37
32,12,8682,11357,5373,36
33,7,7032,10551,4457,13
34,8,5777,8553,5096,5
36,1,464,586,150,0
37,11,9207,10804,7925,10
39,10,21264,24082,10661,21
40,19,20728,10804,22112,14
41,5,7299,10551,5366,21
42,15,14120,17400,7790,14
43,15,15827,22588,9858,33
45,15,12954,17992,12031,3
46,19,15930,15219,10395,33
47,4,6344,7924,4581,10
48,8,5022,2292,2251,3
49,2,5788,5992,2697,2
51,4,3147,4464,3075,2
52,3,5834,7397,6798,7
53,5,7161,10503,7164,5
54,11,12278,12062,12677,15
55,6,3289,8600,273,0
